0,2805.00,4da6a016169423db7f1ff29849998a28#__#,eMUTANT_ALIVE
1,2764.00,1a8ce81358e4c411ce216823fb315e00#__#,eMUTANT_ALIVE
2,3063.00,a4c52329336d34aa8f5a39aa07f732c4#__#,eMUTANT_ALIVE
3,3089.00,048e48708bad2e67a019f587c253028f#__#,eMUTANT_ALIVE
4,386.00,6387e6ed641e950ce8e8f3caba5127db#__#,eMUTANT_ALIVE
5,400.00,66d04912b7dece371caa83846f078c34#__#,eMUTANT_ALIVE
6,415.00,768625f27bd3d513fa922c32ae530c40#__#,eMUTANT_ALIVE
7,421.00,f74274ff8ecc5599ef3271017868dd99#__#,eMUTANT_ALIVE
8,63.00,5ef209dffc264723b13fbe207a1d2820#__#,eMUTANT_ALIVE
9,55.00,1d81ce4a5f215554e459c8ee4b6a8614#__#,eMUTANT_ALIVE

